region,location,latitude,longitude,area,murder_count,rape_count,gangrape_count,robbery_count,theft_count,assault_count,sexual_harassment_count,total_crime,crime_density,source_file,source_type,is_synthetic
Delhi,CHITRANJAN PARK,28.53632,77.2492,2.659329537,2,6,1,35,442,19,7,512,192.5297308,crime.csv,real,False
Delhi,DABRI,28.61268,77.086,3.401013428,8,28,0,79,240,26,16,397,116.7299125,crime.csv,real,False
Delhi,MALVIYA NAGAR,28.52989,77.20418,1.379853572,3,28,1,33,694,63,15,837,606.5861022,crime.csv,real,False
Delhi,CHANDNI MAHAL,28.64361,77.23608,5.570696132,1,8,1,23,529,19,7,588,105.5523378,crime.csv,real,False
Delhi,MODEL TOWN,28.70257,77.19369,2.689157085,0,4,1,45,393,9,14,466,173.2885009,crime.csv,real,False
Delhi,ANANDVIHAR,28.65335,77.29373,4.558969692,10,14,0,99,457,24,15,619,135.776292,crime.csv,real,False
Delhi,KASHMERE GATE,28.66645,77.22618,1.627909974,0,9,3,17,340,17,12,398,244.4852641,crime.csv,real,False
Delhi,GOVIND PURI,28.53067,77.26532,8.99271206,1,4,3,31,692,5,5,741,82.40005852,crime.csv,real,False
Delhi,BINDAPUR,28.6091,77.06618,2.5680795,4,4,1,64,417,11,8,509,198.2025868,crime.csv,real,False
Delhi,NEW FRIENDS COLONY,28.56234,77.2676,4.04538671,6,7,1,47,609,14,10,694,171.5534385,crime.csv,real,False
Delhi,SARITA VIHAR,28.52299,77.30617,7.942774025,1,12,0,12,211,8,1,245,30.84564653,crime.csv,real,False
Delhi,TIMARPUR,28.7072,77.2242,6.149745104,8,17,1,60,626,23,5,740,120.3301905,crime.csv,real,False
Delhi,KANJHAWALA,28.72582,77.00361,35.4901909,1,5,2,15,307,21,10,361,10.17182469,crime.csv,real,False
Delhi,ANAND PARBAT,28.66004,77.17376,1.948430286,5,20,1,77,374,35,9,521,267.394735,crime.csv,real,False
Delhi,SAGARPUR,28.59139,77.08644,1.283551172,2,7,0,11,180,4,4,208,162.0504149,crime.csv,real,False
Delhi,PRASHANT VIHAR,28.71793,77.12757,2.076678927,7,8,0,41,457,39,14,566,272.5505578,crime.csv,real,False
Delhi,SOUTH CAMPUS,28.57051,77.179,4.518856098,10,11,1,38,248,8,9,325,71.92085629,crime.csv,real,False
Delhi,ROHINI SOUTH,28.70236,77.1159,2.649542395,6,14,0,96,560,24,5,705,266.0836835,crime.csv,real,False
Delhi,PUNJABI BAGH,28.67441,77.13276,2.57731064,9,24,0,64,1251,54,19,1421,551.349914,crime.csv,real,False
Delhi,DWARKA NORTH,28.60369,77.01564,30.06854798,3,2,0,10,104,10,13,142,4.722542641,crime.csv,real,False
Delhi,BURARI,28.73664,77.19735,11.3338763,3,12,0,56,562,21,17,671,59.203046,crime.csv,real,False
Delhi,JAMA MASJID,28.65284,77.23362,3.817050224,4,19,0,13,317,10,1,364,95.36159563,crime.csv,real,False
Delhi,ADRASH NAGAR,28.70984,77.17532,1.646190527,3,15,0,41,354,18,3,434,263.6389852,crime.csv,real,False
Delhi,CHANAKYAPURI,28.60337,77.19606,10.99345252,1,7,2,40,649,20,4,723,65.76641857,crime.csv,real,False
Delhi,PANDAV NAGAR,28.62038,77.30265,1.470612978,5,16,3,27,351,23,10,435,295.7950231,crime.csv,real,False
Delhi,MIANWALI NAGAR,28.67965,77.08879,1.729847853,1,12,1,46,400,27,8,495,286.1523337,crime.csv,real,False
Delhi,FATEHPUR BERI,28.46549,77.15114,35.89559495,7,10,0,60,683,7,9,776,21.61825152,crime.csv,real,False
Delhi,NABI KARIM,28.64981,77.21754,1.799866446,4,4,0,29,612,6,5,660,366.6938741,crime.csv,real,False
Delhi,RAJOURI GARDEN,28.63969,77.11992,1.731624057,1,7,0,37,567,20,4,636,367.2852645,crime.csv,real,False
Delhi,JAHANGIR PURI,28.73358,77.17487,2.463668046,1,23,1,17,441,36,6,525,213.0968906,crime.csv,real,False
Delhi,KAMLA MARKET,28.64295,77.22621,3.095888323,4,11,0,5,107,7,5,139,44.89826037,crime.csv,real,False
Delhi,BARAKHAMBA ROAD,28.63089,77.22498,3.748441999,9,14,1,125,808,16,38,1011,269.7120565,crime.csv,real,False
Delhi,SAFDARJUNG ENCLAVE,28.56934,77.20489,2.366255942,2,7,0,1,83,3,10,106,44.79650663,crime.csv,real,False
Delhi,MUKHERJI NAGAR,28.70024,77.20856,6.149745104,1,8,0,54,789,14,7,873,141.9571031,crime.csv,real,False
Delhi,FARASH BAZAR,28.66879,77.29224,1.721757744,6,3,1,20,374,14,9,427,248.0023694,crime.csv,real,False
Delhi,KALKAJI,28.53321,77.25743,2.659329537,2,9,0,17,141,8,2,179,67.31019886,crime.csv,real,False
Delhi,KALKAJI,28.54728,77.25644,2.745338744,2,9,0,17,141,8,2,179,65.20142565,crime.csv,real,False
Delhi,PARSHAD NAGAR,28.64784,77.18053,4.104570166,1,12,2,36,466,6,13,536,130.5861462,crime.csv,real,False
Delhi,LODHI COLONY,28.58744,77.24047,2.11696063,0,5,0,17,168,13,5,208,98.25407096,crime.csv,real,False
Delhi,INDERPURI,28.63077,77.14501,1.255396299,0,13,0,17,212,31,5,278,221.4440175,crime.csv,real,False
Delhi,OKHLA,28.52678,77.27462,1.71603619,6,27,3,8,174,13,13,244,142.1881435,crime.csv,real,False
Delhi,SAMAYPURBADLI,28.72516,77.14219,3.249865013,0,2,0,5,74,7,2,90,27.69345792,crime.csv,real,False
Delhi,JAFFARPUR KALAN,28.59572,76.91555,70.46948722,2,11,1,35,719,8,5,781,11.08281089,crime.csv,real,False
Delhi,MAYA PURI,28.62657,77.12084,2.553754816,3,21,2,17,256,28,17,344,134.7036128,crime.csv,real,False
Delhi,AMAN VIHAR,28.70965,77.06081,3.296887934,10,14,1,84,487,25,12,633,191.9992467,crime.csv,real,False
Delhi,VIJAY VIHAR,28.71003,77.10186,2.649542395,0,3,0,9,232,6,5,255,96.24303447,crime.csv,real,False
Delhi,AMAR COLONY,28.55914,77.24093,1.505936692,3,14,1,88,484,17,40,647,429.6329345,crime.csv,real,False
Delhi,ALIPUR,28.79903,77.13913,51.54547492,6,15,1,52,320,22,18,434,8.419749759,crime.csv,real,False
Delhi,MAHENDRA PARK,28.72579,77.16418,2.463668046,0,15,2,37,832,28,4,918,372.6151344,crime.csv,real,False
Delhi,VASANT KUNJ SOUTH,28.53492,77.15236,14.1053716,0,1,0,1,65,1,3,71,5.033543391,crime.csv,real,False
Delhi,BHALSWA DAIRY,28.74286,77.16574,4.49852205,2,13,1,28,338,23,12,417,92.69711149,crime.csv,real,False
Delhi,BAWANA,28.79654,77.04254,40.32792292,6,20,3,93,383,13,8,526,13.04307194,crime.csv,real,False
Delhi,BEGUM PUR,28.72449,77.05179,35.4901909,0,4,0,73,413,5,4,499,14.06022305,crime.csv,real,False
Delhi,NARAINA,28.63356,77.13777,14.93729349,2,11,0,28,425,18,12,496,33.20547998,crime.csv,real,False
Delhi,NEB SARAI,28.49893,77.21428,8.344724019,3,20,2,35,626,19,13,718,86.04239018,crime.csv,real,False
Delhi,RAJINDER NAGAR,28.63505,77.18285,3.013302528,1,21,1,31,474,32,11,571,189.4930876,crime.csv,real,False
Delhi,SHALIMAR BAGH,28.71681,77.15712,1.28161156,8,9,0,45,335,13,23,433,337.855879,crime.csv,real,False
Delhi,KESHAV PURAM,28.68423,77.15977,1.352844685,1,43,0,21,336,47,10,458,338.5458842,crime.csv,real,False
