region,location,latitude,longitude,historical_spatial_risk_score,risk_level,cluster,anomaly_score,severity_score,crime_density
Delhi,ADRASH NAGAR,28.70984,77.17532,0.4876506024096386,MEDIUM,1,0.38428725798905217,770.0,263.6389852
Delhi,ALIPUR,28.79903,77.13913,0.41385542168674694,MEDIUM,0,0.4658623853330027,899.0,8.419749759
Delhi,AMAN VIHAR,28.70965,77.06081,0.7313253012048193,HIGH,1,0.44718426304737197,1217.0,191.9992467
Delhi,AMAR COLONY,28.55914,77.24093,0.8518072289156626,VERY_HIGH,1,0.5241621801107661,1232.0,429.6329345
Delhi,ANAND PARBAT,28.66004,77.17376,0.7213855421686748,HIGH,1,0.4340809162301683,1112.0,267.394735
Delhi,ANANDVIHAR,28.65335,77.29373,0.7112951807228917,HIGH,1,0.43615044974976663,1245.0,135.776292
Delhi,ANANDVIHAR,28.65597,77.31306,0.7158132530120482,HIGH,1,0.4424275066217579,1245.0,135.776292
Delhi,ASHOK VIHAR,28.69245,77.17432,0.5367469879518073,HIGH,1,0.3845846656801643,939.0,153.5508403
Delhi,BABA HARI DAS NAGAR,28.62867,76.96681,0.388855421686747,MEDIUM,0,0.43259672159280194,891.0,17.66605618
Delhi,BADAR PUR,28.49385,77.30357,0.5448795180722892,HIGH,1,0.4382383405125897,773.0,194.1435995
Delhi,BARA HINDU RAO,28.66539,77.20846,0.5195783132530121,HIGH,1,0.423296351165416,752.0,209.7953409
Delhi,BARAKHAMBA ROAD,28.63089,77.22498,0.8518072289156627,VERY_HIGH,1,0.5061592429403456,1751.0,269.7120565
Delhi,BAWANA,28.79654,77.04254,0.5257530120481928,HIGH,0,0.5093636137194347,1099.0,13.04307194
Delhi,BAWANA,28.80659,77.0228,0.5266566265060242,HIGH,0,0.5143216175922597,1099.0,13.04307194
Delhi,BEGUM PUR,28.72449,77.05179,0.3536144578313253,MEDIUM,0,0.46811109465439465,778.0,14.06022305
Delhi,BHAJANPURI,28.70128,77.2644,0.45753012048192776,MEDIUM,1,0.5084527603961841,718.0,28.64739511
Delhi,BHALSWA DAIRY,28.74286,77.16574,0.3786144578313253,MEDIUM,1,0.38266900065159953,746.0,92.69711149
Delhi,BHARAT NAGAR,28.68062,77.17851,0.4644578313253013,MEDIUM,1,0.41987041470028713,649.0,175.8165321
Delhi,BINDAPUR,28.6091,77.06618,0.5489457831325302,HIGH,1,0.4083945594852385,841.0,198.2025868
Delhi,BINDAPUR,28.62046,77.06744,0.5378012048192771,HIGH,1,0.40873569379632596,841.0,185.2677233
Delhi,BURARI,28.73664,77.19735,0.5599397590361447,HIGH,1,0.4043900455126936,1085.0,59.203046
Delhi,CHANAKYAPURI,28.60337,77.19606,0.5313253012048192,HIGH,1,0.40328960546004894,1009.0,65.76641857
Delhi,CHANDNI MAHAL,28.64361,77.23608,0.45692771084337347,MEDIUM,1,0.3869474329618476,827.0,105.5523378
Delhi,CHHAWLA,28.58691,76.99466,0.4019578313253012,MEDIUM,0,0.42512391294774104,911.0,21.8552686
Delhi,CHITRANJAN PARK,28.53632,77.2492,0.4614457831325301,MEDIUM,1,0.37668947977361456,782.0,192.5297308
Delhi,CIVIL LINES,28.68851,77.2215,0.7210843373493977,HIGH,1,0.40406255427822946,1333.0,215.1561556
Delhi,CONNAUGHT PLACE,28.63,77.21432,0.7003012048192772,HIGH,1,0.41184913124878086,1322.0,172.5875527
Delhi,D.B.G ROAD,28.65258,77.19326,0.5900602409638555,HIGH,1,0.39219245615280723,900.0,304.2025173
Delhi,DABRI,28.61268,77.086,0.6795180722891567,HIGH,1,0.5000233247977734,1054.0,116.7299125
Delhi,DARYA GANJ,28.6419,77.24062,0.2335843373493976,LOW,1,0.3938349583187008,400.0,39.85139285
Delhi,DEFENCE COLONY,28.56468,77.23337,0.3602409638554217,MEDIUM,1,0.42119217841185275,529.0,91.52205283
Delhi,DELHI CANTT,28.59872,77.12437,0.1710843373493976,LOW,0,0.41613565804101166,477.0,6.839984655
Delhi,DWARKA NORTH,28.60369,77.01564,0.17379518072289155,LOW,0,0.491746210241804,292.0,4.722542641
Delhi,DWARKA SEC-23,28.56411,77.05849,0.2927710843373494,MEDIUM,0,0.46681731441559354,621.0,15.79723771
Delhi,DWARKA SOUTH,28.57837,77.06666,0.23795180722891568,LOW,0,0.41553545108140477,634.0,12.039158
Delhi,FARASH BAZAR,28.66879,77.29224,0.4921686746987952,MEDIUM,1,0.41267321718079353,653.0,248.0023694
Delhi,FATEHPUR BERI,28.46549,77.15114,0.5340361445783133,HIGH,0,0.4765512454919434,1144.0,21.61825152
Delhi,G.T.B. ENCLAVE,28.68496,77.316,0.2713855421686747,MEDIUM,1,0.4567096957577543,214.0,39.66177035
Delhi,GANDHI NAGAR,28.65955,77.26733,0.45090361445783134,MEDIUM,1,0.4248275501928489,496.0,293.7489292
Delhi,GEETA COLONY,28.6554,77.27642,0.4268072289156627,MEDIUM,1,0.4198636148018037,457.0,285.7251279
Delhi,GHAZIPUR,28.62486,77.33267,0.2932228915662651,MEDIUM,1,0.5204234034739081,136.0,38.79714804
Delhi,GOKULPURI,28.70225,77.28085,0.4310240963855422,MEDIUM,1,0.3977498951647156,607.0,233.0267481
Delhi,GOVIND PURI,28.53067,77.26532,0.5774096385542168,HIGH,1,0.45449964222579453,930.0,82.40005852
Delhi,GREATER KAILASH,28.5541,77.23278,0.24879518072289158,LOW,1,0.41661237469160256,274.0,49.55760816
Delhi,GULABIBAGH,28.67005,77.19262,0.3846385542168675,MEDIUM,1,0.43601412116993343,420.0,145.5833585
Delhi,H. N. DIN,28.59238,77.24417,0.2280120481927711,LOW,1,0.3877299348465621,443.0,24.91202265
Delhi,HARI NAGAR,28.60935,77.09946,0.5365963855421687,HIGH,1,0.3997214441543201,824.0,221.2758879
Delhi,HARSH VIHAR,28.70603,77.31849,0.4602409638554217,MEDIUM,1,0.3787840971320593,768.0,205.6601327
Delhi,HAUZ KHAS,28.54939,77.20847,0.40602409638554215,MEDIUM,1,0.3883615560989717,651.0,171.1452788
Delhi,HAUZQAZI,28.64335,77.22548,0.45843373493975903,MEDIUM,1,0.4103093918119479,738.0,158.5974521
Delhi,I.P. ESTATE,28.6274,77.24722,0.5620481927710844,HIGH,1,0.411496469860773,1043.0,70.67656487
Delhi,INDERPURI,28.63077,77.14501,0.480421686746988,MEDIUM,1,0.4420664490948062,559.0,221.4440175
Delhi,JAFFARPUR KALAN,28.59572,76.91555,0.4789156626506025,MEDIUM,0,0.4762470136181285,1036.0,11.08281089
Delhi,JAGATPURI,28.64359,77.2839,0.8438253012048194,VERY_HIGH,1,0.5091489124669609,1226.0,724.0979268
Delhi,JAHANGIR PURI,28.73358,77.17487,0.5843373493975903,HIGH,1,0.40132869667637133,916.0,213.0968906
Delhi,JAMA MASJID,28.65284,77.23362,0.363855421686747,MEDIUM,1,0.4021671711386846,615.0,95.36159563
Delhi,JAMIA NAGAR,28.56207,77.29235,0.4993975903614458,MEDIUM,1,0.48409766084835215,786.0,43.7778871
Delhi,JANAK PURI,28.62863,77.08188,0.6864457831325301,HIGH,1,0.4879983265214481,917.0,239.3819674
Delhi,JYOTI NAGAR,28.69612,77.2917,0.4813253012048193,MEDIUM,1,0.5051917384674622,533.0,174.7842688
Delhi,KALKAJI,28.53321,77.25743,0.240210843373494,LOW,1,0.3962086815339576,349.0,67.31019886
Delhi,KALKAJI,28.54728,77.25644,0.23147590361445786,LOW,1,0.3929448838554077,349.0,65.20142565
