location,murder,rape,gangrape,robbery,theft,assault_murders,sexual_harassment,total_area,total_crime,longitude,latitude,crime/area,area
Chhajarsi Colony,1,6,3,12,688,5,12,7282757.885,727,15.2072783,59.2766517,99.8248206902,7.282757885
Dadri Road,7,9,2,1,867,38,21,4167170.23,945,106.3684552,-6.2434505,226.7725933529,4.16717023
Garhi Samastpur,4,1,10,45,799,17,2,4605135.636,878,100.620031,36.284107,190.656707945,4.605135636
Greater Noida Exp.,4,9,8,5,279,23,10,7254139.82,338,38.0181686,36.2308144,46.5940839833,7.25413982
Grtr. Noida Link Rd.,10,2,10,55,767,57,8,2323845.37,909,-6.8050501,61.5549021,391.1619988726,2.32384537
Hosiery Complex,1,9,4,47,570,17,19,5195202.304,667,111.4207572,-8.0060188,128.3876855934,5.195202304
Noida Extension,7,11,2,61,402,20,16,5760781.986,519,100.233878,26.89023,90.0919356541,5.760781986
Sector-1,2,20,2,50,253,32,18,7808254.236,377,117.430061,23.701262,48.2822393592,7.808254236
Sector-10,3,18,5,16,137,12,25,1061391.876,216,110.6511592,-7.7701645,203.5063626208,1.061391876
Sector-100,0,15,7,63,832,37,21,7968081.027,975,48.3501725,39.3822864,122.3632135135,7.968081027
Sector-100,8,19,3,44,156,48,23,4358136.695,301,12.8316075,55.9118986,69.0662136287,4.358136695
Sector-101,8,22,3,55,733,52,27,1495010.012,900,44.2289441,17.5656036,602.0026573575,1.495010012
Sector-102,4,1,10,75,411,56,4,7568295.136,561,26.8115141,-32.2002692,74.1250162578,7.568295136
Sector-104,10,8,8,67,283,1,21,7046154.052,398,-67.9440112,-46.805871,56.4847145071,7.046154052
Sector-104,4,19,3,69,871,20,23,3622891.937,1009,111.3545546,-6.8229172,278.5067889261,3.622891937
Sector-105,1,2,9,50,508,33,27,6826607.21,630,22.8837844,50.009103,92.285960012,6.82660721
Sector-105,8,6,7,9,333,10,3,5370625.346,376,27.2499749,-11.7602273,70.0104691309,5.370625346
Sector-106,3,13,5,44,514,59,7,7606323.109,645,-47.0145295,-21.4649238,84.7978702399,7.606323109
Sector-107,5,13,6,20,858,9,20,2922324.019,931,91.140552,29.654838,318.5820579604,2.922324019
Sector-107,0,25,4,6,877,44,28,5845187.137,984,101.4679893,3.3217785,168.3436264634,5.845187137
Sector-108,10,17,8,78,285,8,30,3308400.664,436,92.7620647,55.9905778,131.7857310163,3.308400664
Sector-11,3,18,9,76,787,46,25,2018420.037,964,117.318781,39.042852,477.6012833448,2.018420037
Sector-110,9,23,4,11,757,2,3,4276738.978,809,-86.355797,14.11684,189.1628187181,4.276738978
Sector-110,3,1,4,40,383,50,8,6493185.889,489,-79.1604971,21.9441032,75.3097182738,6.493185889
Sector-112,7,8,10,13,765,53,11,4039649.146,867,18.0732903,50.6657079,214.6225993063,4.039649146
Sector-113,1,15,6,55,729,49,29,3455045.768,884,174.9939663,-40.9026164,255.8576815935,3.455045768
Sector-115,9,6,7,3,214,24,26,3471440.909,289,122.813931,10.527138,83.2507329307,3.471440909
Sector-116,2,10,5,7,741,60,21,3679723.878,846,30.8005553,55.024145,229.9085551114,3.679723878
